week_start,plan_year,plan_week,calendar_year,month,week_of_year,season,sku_id,product_name,region_id,country,region_name,weather_proxy_city,channel_id,base_weekly_units_py2022,structural_growth_rate,plan_year_growth_factor,plan_year_normalization_factor,sku_seasonality_factor,base_portfolio_region_share,product_region_affinity,normalized_product_region_share,regional_season_modifier,channel_mix_share,allocated_structural_units,weather_dgp_available,audit_hidden_weather_z,weather_effect_pct,weather_factor,weather_model_input_allowed,promotion_flag,promotion_uplift_pct,promotion_factor,zero_or_no_order_flag,order_pattern_factor,positive_spike_flag,positive_spike_factor,negative_shock_flag,negative_shock_factor,noise_sd_pct,noise_factor,true_demand_units_continuous,true_demand_units,demand_provenance,weather_dgp_provenance,generator_version,generator_seed,audit_hidden_heating_degree_10,audit_hidden_heating_degree_5,audit_hidden_wet_cold_degree,audit_hidden_cold_run_days,audit_hidden_wet_cold_run_days,audit_hidden_snow_persistence_days,audit_hidden_rain_wind_event_days,weather_cap_type,weather_cap_value,weather_sensitivity,planning_basis_type,planning_basis_annual_units,planner_growth_assumption_pct,buy_factor,committed_buy_units_plan_year,weekly_plan_units,forward_coverage_target_units,seasonal_receipt_units,replenishment_receipt_units,chase_receipt_units,return_restock_units,total_inventory_receipts_units,beginning_inventory_units,ending_inventory_units,shipped_units,observed_sales_units,lost_demand_units,row_fill_rate,gross_returns_units,sellable_return_units,non_sellable_return_units,return_restock_delay_weeks,in_stock_days,constrained_flag,stockout_flag,sales_censored_flag,normal_replenishment_allowed,chase_capacity_share_available,chase_capacity_remaining_units,chase_triggered_flag,chase_used_units,receipt_event_label,peak_cover_extension_weeks,peak_cover_buffer_wos
2021-07-05,PY2022,1,2021,7,27,SUMMER,APS-001,Alpine Performance Shell,CA_ON,Canada,Ontario,Toronto,ECOM,540,0.04,1.0,0.976113,0.508044,0.09,0.9,0.082192,0.95,0.39,8.1548,1,0.0,0.0,1.0,0,1,0.14,1.14,0,1.0,0,1.0,0,1.0,0.14,0.959005,8.9154,9,SYNTHETIC_STEP3B_V3_FINAL,PUBLIC_ERA5_VIA_OPEN_METEO_HIDDEN_DAILY_DRIVERS,3B_v3.1,20260823,0.0,0.0,0.0,0.0,0.0,0.0,0.0,SOFT_TANH,0.2,0.292,STARTUP_STRUCTURAL_ANNUAL_EXPECTATION,906.3177,0.015424491484735486,1.0274681195232649,945.5760228482392,8.39099413286716,52.00195290539932,53.43034876324802,0.0,0.0,0.0,53.43034876324802,53.43034876324802,44.43034876324802,9.0,9.0,0.0,1.0,0.6300000000000001,0.5361300000000001,0.09387000000000001,2.0,7.0,0.0,0.0,0.0,0.0,0.08,75.64608182785913,0.0,0.0,JUL_OPENING,2.0,0.0
2021-07-12,PY2022,2,2021,7,28,SUMMER,APS-001,Alpine Performance Shell,CA_ON,Canada,Ontario,Toronto,ECOM,540,0.04,1.0,0.976113,0.508044,0.09,0.9,0.082192,0.95,0.39,8.1548,1,0.0,0.0,1.0,0,0,0.0,1.0,0,1.0,0,1.0,0,1.0,0.14,1.021905,8.3334,8,SYNTHETIC_STEP3B_V3_FINAL,PUBLIC_ERA5_VIA_OPEN_METEO_HIDDEN_DAILY_DRIVERS,3B_v3.1,20260823,0.0,0.0,0.0,0.0,0.0,0.0,0.0,SOFT_TANH,0.2,0.292,STARTUP_STRUCTURAL_ANNUAL_EXPECTATION,906.3177,0.015424491484735486,1.0274681195232649,945.5760228482392,8.280583643159721,0.0,0.0,0.0,0.0,0.0,0.0,44.43034876324802,36.43034876324802,8.0,8.0,0.0,1.0,0.56,0.47656000000000004,0.08344000000000001,2.0,7.0,0.0,0.0,0.0,0.0,0.08,75.64608182785913,0.0,0.0,,2.0,0.0
2021-07-19,PY2022,3,2021,7,29,SUMMER,APS-001,Alpine Performance Shell,CA_ON,Canada,Ontario,Toronto,ECOM,540,0.04,1.0,0.976113,0.508044,0.09,0.9,0.082192,0.95,0.39,8.1548,1,0.0,0.0,1.0,0,0,0.0,1.0,0,1.0,0,1.0,0,1.0,0.14,1.235874,10.0783,10,SYNTHETIC_STEP3B_V3_FINAL,PUBLIC_ERA5_VIA_OPEN_METEO_HIDDEN_DAILY_DRIVERS,3B_v3.1,20260823,0.0,0.0,0.0,0.0,0.0,0.0,0.0,SOFT_TANH,0.2,0.292,STARTUP_STRUCTURAL_ANNUAL_EXPECTATION,906.3177,0.015424491484735486,1.0274681195232649,945.5760228482392,8.280583643159721,0.0,0.0,0.0,0.0,0.5361300000000001,0.5361300000000001,36.96647876324802,26.96647876324802,10.000000000000002,10.000000000000002,0.0,1.0000000000000002,0.7000000000000002,0.5957000000000001,0.10430000000000006,2.0,7.0,0.0,0.0,0.0,0.0,0.08,75.64608182785913,0.0,0.0,,2.0,0.0
2021-07-26,PY2022,4,2021,7,30,SUMMER,APS-001,Alpine Performance Shell,CA_ON,Canada,Ontario,Toronto,ECOM,540,0.04,1.0,0.976113,0.508044,0.09,0.9,0.082192,0.95,0.39,8.1548,1,0.0,0.0,1.0,0,0,0.0,1.0,0,1.0,0,1.0,0,1.0,0.14,1.015504,8.2812,8,SYNTHETIC_STEP3B_V3_FINAL,PUBLIC_ERA5_VIA_OPEN_METEO_HIDDEN_DAILY_DRIVERS,3B_v3.1,20260823,0.0,0.0,0.0,0.0,0.0,0.0,0.0,SOFT_TANH,0.2,0.292,STARTUP_STRUCTURAL_ANNUAL_EXPECTATION,906.3177,0.015424491484735486,1.0274681195232649,945.5760228482392,8.722191754506433,0.0,0.0,0.0,0.0,0.47656000000000004,0.47656000000000004,27.44303876324802,19.44303876324802,8.0,8.0,0.0,1.0,0.56,0.47656000000000004,0.08344000000000001,2.0,7.0,0.0,0.0,0.0,0.0,0.08,75.64608182785913,0.0,0.0,,2.0,0.0
2021-08-02,PY2022,5,2021,8,31,SUMMER,APS-001,Alpine Performance Shell,CA_ON,Canada,Ontario,Toronto,ECOM,540,0.04,1.0,0.976113,0.589331,0.09,0.9,0.082192,0.95,0.39,9.4595,1,0.0,0.0,1.0,0,0,0.0,1.0,0,1.0,0,1.0,0,1.0,0.14,1.096196,10.3695,10,SYNTHETIC_STEP3B_V3_FINAL,PUBLIC_ERA5_VIA_OPEN_METEO_HIDDEN_DAILY_DRIVERS,3B_v3.1,20260823,0.0,0.0,0.0,0.0,0.0,0.0,0.0,SOFT_TANH,0.2,0.292,STARTUP_STRUCTURAL_ANNUAL_EXPECTATION,906.3177,0.015424491484735486,1.0274681195232649,945.5760228482392,9.163799865853143,72.72314509591646,55.27767437427081,0.0,0.0,0.5957000000000001,55.87337437427081,75.31641313751882,65.31641313751882,10.0,10.0,0.0,1.0,0.7000000000000001,0.5957,0.10430000000000006,2.0,7.0,0.0,0.0,0.0,0.0,0.08,75.64608182785913,0.0,0.0,AUG_PRESEASON,2.0,0.0
2021-08-09,PY2022,6,2021,8,32,SUMMER,APS-001,Alpine Performance Shell,CA_ON,Canada,Ontario,Toronto,ECOM,540,0.04,1.0,0.976113,0.589331,0.09,0.9,0.082192,0.95,0.39,9.4595,1,0.0,0.0,1.0,0,0,0.0,1.0,0,1.0,0,1.0,0,1.0,0.14,0.938376,8.8766,9,SYNTHETIC_STEP3B_V3_FINAL,PUBLIC_ERA5_VIA_OPEN_METEO_HIDDEN_DAILY_DRIVERS,3B_v3.1,20260823,0.0,0.0,0.0,0.0,0.0,0.0,0.0,SOFT_TANH,0.2,0.292,STARTUP_STRUCTURAL_ANNUAL_EXPECTATION,906.3177,0.015424491484735486,1.0274681195232649,945.5760228482392,9.605407977199853,0.0,0.0,0.0,0.0,0.47656000000000004,0.47656000000000004,65.79297313751883,56.79297313751883,8.999999999999998,8.999999999999998,1.7763568394002505e-15,0.9999999999999998,0.6299999999999999,0.5361299999999999,0.09387000000000001,2.0,7.0,0.0,0.0,0.0,0.0,0.08,75.64608182785913,0.0,0.0,,2.0,0.0
2021-08-16,PY2022,7,2021,8,33,SUMMER,APS-001,Alpine Performance Shell,CA_ON,Canada,Ontario,Toronto,ECOM,540,0.04,1.0,0.976113,0.589331,0.09,0.9,0.082192,0.95,0.39,9.4595,1,0.0,0.0,1.0,0,0,0.0,1.0,0,1.0,0,1.0,0,1.0,0.14,1.085446,10.2678,10,SYNTHETIC_STEP3B_V3_FINAL,PUBLIC_ERA5_VIA_OPEN_METEO_HIDDEN_DAILY_DRIVERS,3B_v3.1,20260823,0.0,0.0,0.0,0.0,0.0,0.0,0.0,SOFT_TANH,0.2,0.292,STARTUP_STRUCTURAL_ANNUAL_EXPECTATION,906.3177,0.015424491484735486,1.0274681195232649,945.5760228482392,9.605407977199853,0.0,0.0,0.0,0.0,0.5957,0.5957,57.38867313751883,47.38867313751883,9.999999999999998,9.999999999999998,1.7763568394002505e-15,0.9999999999999998,0.7,0.5956999999999999,0.10430000000000006,2.0,7.0,0.0,0.0,0.0,0.0,0.08,75.64608182785913,0.0,0.0,,2.0,0.0
2021-08-23,PY2022,8,2021,8,34,SUMMER,APS-001,Alpine Performance Shell,CA_ON,Canada,Ontario,Toronto,ECOM,540,0.04,1.0,0.976113,0.589331,0.09,0.9,0.082192,0.95,0.39,9.4595,1,0.0,0.0,1.0,0,0,0.0,1.0,0,1.0,0,1.0,0,1.0,0.14,1.045804,9.8928,10,SYNTHETIC_STEP3B_V3_FINAL,PUBLIC_ERA5_VIA_OPEN_METEO_HIDDEN_DAILY_DRIVERS,3B_v3.1,20260823,0.0,0.0,0.0,0.0,0.0,0.0,0.0,SOFT_TANH,0.2,0.292,STARTUP_STRUCTURAL_ANNUAL_EXPECTATION,906.3177,0.015424491484735486,1.0274681195232649,945.5760228482392,9.605407977199853,0.0,0.0,0.0,0.0,0.5361299999999999,0.5361299999999999,47.92480313751883,37.92480313751883,10.0,10.0,0.0,1.0,0.7000000000000001,0.5957,0.10430000000000006,2.0,7.0,0.0,0.0,0.0,0.0,0.08,75.64608182785913,0.0,0.0,,2.0,0.0
2021-08-30,PY2022,9,2021,8,35,SUMMER,APS-001,Alpine Performance Shell,CA_ON,Canada,Ontario,Toronto,ECOM,540,0.04,1.0,0.976113,0.589331,0.09,0.9,0.082192,0.95,0.39,9.4595,1,0.0,0.0,1.0,0,0,0.0,1.0,0,1.0,0,1.0,0,1.0,0.14,0.994432,9.4068,9,SYNTHETIC_STEP3B_V3_FINAL,PUBLIC_ERA5_VIA_OPEN_METEO_HIDDEN_DAILY_DRIVERS,3B_v3.1,20260823,0.0,0.0,0.0,0.0,0.0,0.0,0.0,SOFT_TANH,0.2,0.292,STARTUP_STRUCTURAL_ANNUAL_EXPECTATION,906.3177,0.015424491484735486,1.0274681195232649,945.5760228482392,11.311490360309458,0.0,0.0,0.0,0.0,0.5956999999999999,0.5956999999999999,38.52050313751883,29.52050313751883,9.0,9.0,0.0,1.0,0.6300000000000001,0.5361300000000001,0.09387000000000001,2.0,7.0,0.0,0.0,0.0,0.0,0.08,75.64608182785913,0.0,0.0,,2.0,0.0
2021-09-06,PY2022,10,2021,9,36,FALL,APS-001,Alpine Performance Shell,CA_ON,Canada,Ontario,Toronto,ECOM,540,0.04,1.0,0.976113,0.833192,0.09,0.9,0.082192,1.03,0.39,14.5,1,0.0,0.0,1.0,0,0,0.0,1.0,0,1.0,0,1.0,0,1.0,0.14,0.88155,12.7825,13,SYNTHETIC_STEP3B_V3_FINAL,PUBLIC_ERA5_VIA_OPEN_METEO_HIDDEN_DAILY_DRIVERS,3B_v3.1,20260823,0.0,0.0,0.0,0.0,0.0,0.0,0.0,SOFT_TANH,0.2,0.292,STARTUP_STRUCTURAL_ANNUAL_EXPECTATION,906.3177,0.015424491484735486,1.0274681195232649,945.5760228482392,13.01757274341906,87.89280850658828,60.78655553836386,0.0,0.0,0.5957,61.38225553836386,90.90275867588268,77.90275867588268,12.999999999999998,12.999999999999998,1.7763568394002505e-15,0.9999999999999999,0.9099999999999999,0.7744099999999999,0.13559,2.0,7.0,0.0,0.0,0.0,0.0,0.08,75.64608182785913,0.0,0.0,SEP_BUILD,2.0,0.0
