week_start,region_id,proxy_city,avg_temp_c,min_temp_c,max_temp_c,rain_mm,rain_days,snow_cm,snow_days,precipitation_mm,precipitation_hours,max_wind_kmh,max_gust_kmh,high_wind_days,cold_days_lt5c,wet_cold_days,days_in_week,source,model
2021-06-28,CA_ON,"Toronto, ON",19.75,14.3,24.9,19.9,2,0.0,0,19.9,24.0,20.8,42.8,0,0,0,4,Open-Meteo Historical Weather API,ERA5
2021-06-28,CA_PNW,"Vancouver, BC",20.075,15.1,24.8,0.0,0,0.0,0,0.0,0.0,9.8,27.7,0,0,0,4,Open-Meteo Historical Weather API,ERA5
2021-06-28,CA_PRAIRIE,"Calgary, AB",21.675,13.0,36.7,43.9,3,0.0,0,43.9,34.0,21.3,48.6,0,0,0,4,Open-Meteo Historical Weather API,ERA5
2021-06-28,CA_QC,"Montreal, QC",17.925,12.2,23.4,2.2,1,0.0,0,2.2,7.0,25.2,45.4,0,0,0,4,Open-Meteo Historical Weather API,ERA5
2021-06-28,US_MIDWEST,"Chicago, IL",20.775,13.7,29.2,0.0,0,0.0,0,0.0,0.0,24.8,47.9,0,0,0,4,Open-Meteo Historical Weather API,ERA5
2021-06-28,US_MTN,"Denver, CO",21.65,12.7,31.3,6.7,2,0.0,0,6.7,6.0,15.8,38.2,0,0,0,4,Open-Meteo Historical Weather API,ERA5
2021-06-28,US_NE,"New York, NY",21.475,16.5,27.5,74.8,3,0.0,0,74.8,52.0,20.1,36.0,0,0,0,4,Open-Meteo Historical Weather API,ERA5
2021-06-28,US_PNW,"Seattle, WA",19.95,15.7,26.1,0.1,0,0.0,0,0.1,1.0,11.4,28.4,0,0,0,4,Open-Meteo Historical Weather API,ERA5
2021-06-28,US_WEST,"San Francisco, CA",16.975,13.2,21.6,0.0,0,0.0,0,0.0,0.0,18.3,45.0,0,0,0,4,Open-Meteo Historical Weather API,ERA5
2021-07-05,CA_ON,"Toronto, ON",20.414,14.5,31.8,25.7,5,0.0,0,25.7,38.0,20.7,54.7,0,0,0,7,Open-Meteo Historical Weather API,ERA5
2021-07-05,CA_PNW,"Vancouver, BC",19.5,14.0,26.3,0.1,0,0.0,0,0.1,1.0,14.3,36.7,0,0,0,7,Open-Meteo Historical Weather API,ERA5
2021-07-05,CA_PRAIRIE,"Calgary, AB",18.471,11.0,31.1,32.8,5,0.0,0,32.8,44.0,17.6,30.2,0,0,0,7,Open-Meteo Historical Weather API,ERA5
2021-07-05,CA_QC,"Montreal, QC",19.229,10.2,28.6,21.0,3,0.0,0,21.0,24.0,24.2,49.7,0,0,0,7,Open-Meteo Historical Weather API,ERA5
2021-07-05,US_MIDWEST,"Chicago, IL",21.571,14.9,30.9,24.7,4,0.0,0,24.7,37.0,25.2,44.6,0,0,0,7,Open-Meteo Historical Weather API,ERA5
2021-07-05,US_MTN,"Denver, CO",23.714,13.3,35.9,1.1,0,0.0,0,1.1,3.0,18.6,36.7,0,0,0,7,Open-Meteo Historical Weather API,ERA5
2021-07-05,US_NE,"New York, NY",25.214,19.1,33.6,33.2,3,0.0,0,33.2,29.0,25.6,52.2,0,0,0,7,Open-Meteo Historical Weather API,ERA5
2021-07-05,US_PNW,"Seattle, WA",19.343,13.5,26.1,0.0,0,0.0,0,0.0,0.0,17.8,40.7,0,0,0,7,Open-Meteo Historical Weather API,ERA5
2021-07-05,US_WEST,"San Francisco, CA",17.157,12.0,26.0,0.0,0,0.0,0,0.0,0.0,18.8,45.7,0,0,0,7,Open-Meteo Historical Weather API,ERA5
