fold,train_start,train_end,test_start,test_end,train_weeks,test_weeks
1,2021-07-05,2023-06-26,2023-07-03,2023-09-25,104,13
2,2021-07-05,2023-09-25,2023-10-02,2023-12-25,117,13
3,2021-07-05,2023-12-25,2024-01-01,2024-03-25,130,13
4,2021-07-05,2024-03-25,2024-04-01,2024-06-24,143,13
5,2021-07-05,2024-06-24,2024-07-01,2024-09-23,156,13
6,2021-07-05,2024-09-23,2024-09-30,2024-12-23,169,13
7,2021-07-05,2024-12-23,2024-12-30,2025-03-24,182,13
8,2021-07-05,2025-03-24,2025-03-31,2025-06-23,195,13
9,2021-07-05,2025-06-23,2025-06-30,2025-09-22,208,13
10,2021-07-05,2025-09-22,2025-09-29,2025-12-22,221,13
11,2021-07-05,2025-12-22,2025-12-29,2026-03-23,234,13
12,2021-07-05,2026-03-23,2026-03-30,2026-06-22,247,13
