fold,sku_id,channel_id,model,train_weeks,test_weeks,fit_status,convergence_warning,warning_count,warning_message,error_message
1,APS-001,ECOM,HW_Add_Add,104,13,SUCCESS,False,0,,
1,APS-001,ECOM,HW_Damped_Add,104,13,SUCCESS,False,0,,
1,APS-001,ECOM,HW_Damped_Mul,104,13,SUCCESS,False,0,,
2,APS-001,ECOM,HW_Add_Add,117,13,SUCCESS,False,0,,
2,APS-001,ECOM,HW_Damped_Add,117,13,SUCCESS,True,1,Optimization failed to converge. Check mle_retvals.,
2,APS-001,ECOM,HW_Damped_Mul,117,13,SUCCESS,False,0,,
3,APS-001,ECOM,HW_Add_Add,130,13,SUCCESS,False,0,,
3,APS-001,ECOM,HW_Damped_Add,130,13,SUCCESS,False,0,,
3,APS-001,ECOM,HW_Damped_Mul,130,13,SUCCESS,False,0,,
4,APS-001,ECOM,HW_Add_Add,143,13,SUCCESS,False,0,,
4,APS-001,ECOM,HW_Damped_Add,143,13,SUCCESS,True,1,Optimization failed to converge. Check mle_retvals.,
4,APS-001,ECOM,HW_Damped_Mul,143,13,SUCCESS,False,0,,
5,APS-001,ECOM,HW_Add_Add,156,13,SUCCESS,False,0,,
5,APS-001,ECOM,HW_Damped_Add,156,13,SUCCESS,False,0,,
5,APS-001,ECOM,HW_Damped_Mul,156,13,SUCCESS,False,0,,
6,APS-001,ECOM,HW_Add_Add,169,13,SUCCESS,False,0,,
6,APS-001,ECOM,HW_Damped_Add,169,13,SUCCESS,True,1,Optimization failed to converge. Check mle_retvals.,
6,APS-001,ECOM,HW_Damped_Mul,169,13,SUCCESS,False,0,,
7,APS-001,ECOM,HW_Add_Add,182,13,SUCCESS,False,0,,
7,APS-001,ECOM,HW_Damped_Add,182,13,SUCCESS,False,0,,
7,APS-001,ECOM,HW_Damped_Mul,182,13,SUCCESS,False,0,,
8,APS-001,ECOM,HW_Add_Add,195,13,SUCCESS,False,0,,
8,APS-001,ECOM,HW_Damped_Add,195,13,SUCCESS,False,0,,
8,APS-001,ECOM,HW_Damped_Mul,195,13,SUCCESS,False,0,,
9,APS-001,ECOM,HW_Add_Add,208,13,SUCCESS,False,0,,
