fold,sku_id,channel_id,model,fit_status,optimizer_converged,convergence_warning,warning_count,optimizer_iterations,aic,fit_seconds,error_message
9,APS-001,ECOM,SARIMA_011_011,SUCCESS,True,False,1,7,1579.8574157263038,2.3500935998745263,
10,APS-001,ECOM,SARIMA_011_011,SUCCESS,True,False,1,7,1697.90262371395,2.398400500183925,
11,APS-001,ECOM,SARIMA_011_011,SUCCESS,True,False,1,7,1828.499889804199,7.985881799831986,
12,APS-001,ECOM,SARIMA_011_011,SUCCESS,True,False,1,9,1967.5606323636225,8.766895600128919,
9,APS-001,RETAIL,SARIMA_011_011,SUCCESS,True,False,1,24,1438.8579657997257,23.36669769999571,
10,APS-001,RETAIL,SARIMA_011_011,SUCCESS,True,False,1,12,1549.8023199467075,8.988963500130922,
11,APS-001,RETAIL,SARIMA_011_011,SUCCESS,True,False,1,13,1686.1566553677335,10.08940829988569,
12,APS-001,RETAIL,SARIMA_011_011,SUCCESS,True,False,1,17,1800.5817015892385,13.590454200049862,
9,APS-001,WHOLESALE,SARIMA_011_011,SUCCESS,True,False,1,13,1622.6889768763208,7.7021544999442995,
10,APS-001,WHOLESALE,SARIMA_011_011,SUCCESS,True,False,1,14,1743.6324860281397,9.71675300016068,
11,APS-001,WHOLESALE,SARIMA_011_011,SUCCESS,True,False,1,14,1887.1805045639244,8.479925400111824,
12,APS-001,WHOLESALE,SARIMA_011_011,SUCCESS,True,False,1,14,2025.354987509254,9.04503870010376,
9,CTS-001,ECOM,SARIMA_011_011,SUCCESS,True,False,1,13,1629.209175309188,6.915821800008416,
10,CTS-001,ECOM,SARIMA_011_011,SUCCESS,True,False,1,12,1759.853597379431,7.643454999895766,
11,CTS-001,ECOM,SARIMA_011_011,SUCCESS,True,False,1,10,1905.29024804048,8.261909800115973,
12,CTS-001,ECOM,SARIMA_011_011,SUCCESS,True,False,1,11,2055.7248350642385,9.878922500181943,
9,CTS-001,RETAIL,SARIMA_011_011,SUCCESS,True,False,1,17,1582.5031192903916,9.737414800096303,
10,CTS-001,RETAIL,SARIMA_011_011,SUCCESS,True,False,1,14,1709.1456915104409,9.521161300130188,
11,CTS-001,RETAIL,SARIMA_011_011,SUCCESS,True,False,1,10,1839.9133870110722,8.220127600012347,
12,CTS-001,RETAIL,SARIMA_011_011,SUCCESS,True,False,1,9,1969.025392486652,6.7389217999298126,
9,CTS-001,WHOLESALE,SARIMA_011_011,SUCCESS,True,False,1,17,1790.985934279162,9.646698900032789,
10,CTS-001,WHOLESALE,SARIMA_011_011,SUCCESS,True,False,1,18,1936.0240870580526,10.853423000080511,
11,CTS-001,WHOLESALE,SARIMA_011_011,SUCCESS,True,False,1,17,2081.727064858588,11.952369999838993,
12,CTS-001,WHOLESALE,SARIMA_011_011,SUCCESS,True,False,1,17,2226.89507352864,9.915149300126359,
9,IMH-001,ECOM,SARIMA_011_011,SUCCESS,True,False,1,17,1809.0513781014688,8.694867900107056,
10,IMH-001,ECOM,SARIMA_011_011,SUCCESS,True,False,1,21,1945.041176646821,14.027064199792221,
11,IMH-001,ECOM,SARIMA_011_011,SUCCESS,True,False,1,11,2103.2427407956675,7.52516630012542,
12,IMH-001,ECOM,SARIMA_011_011,SUCCESS,True,False,1,11,2254.561252319356,9.106659400044009,
9,IMH-001,RETAIL,SARIMA_011_011,SUCCESS,True,False,1,10,1666.3019555390124,6.088278999784961,
10,IMH-001,RETAIL,SARIMA_011_011,SUCCESS,True,False,1,14,1795.8197368874326,11.858648700173944,
11,IMH-001,RETAIL,SARIMA_011_011,SUCCESS,True,False,1,11,1943.5799723851226,7.46634990000166,
12,IMH-001,RETAIL,SARIMA_011_011,SUCCESS,True,False,1,11,2092.9061598515786,9.329346999991685,
9,IMH-001,WHOLESALE,SARIMA_011_011,SUCCESS,True,False,1,14,1901.5676304441672,8.026022300124168,
10,IMH-001,WHOLESALE,SARIMA_011_011,SUCCESS,True,False,1,14,2056.588858325212,8.27380029996857,
11,IMH-001,WHOLESALE,SARIMA_011_011,SUCCESS,True,False,1,20,2227.895121625169,12.302514399867505,
12,IMH-001,WHOLESALE,SARIMA_011_011,SUCCESS,True,False,1,19,2383.5659101861525,14.203126900130883,
