fold,sku_id,channel_id,model,fit_status,optimizer_converged,optimizer_iterations,convergence_warning,warning_count,warning_categories,warning_message,aic,bic,fit_seconds,error_message
1,CTS-001,RETAIL,SARIMA_011_011,SUCCESS,True,5,False,1,UserWarning,Too few observations to estimate starting parameters for seasonal ARMA. All parameters except for variances will be set to zeros.,511.0801454519641,516.8756223501371,1.3011731000151485,
2,CTS-001,RETAIL,SARIMA_011_011,SUCCESS,True,15,False,1,UserWarning,Too few observations to estimate starting parameters for seasonal ARMA. All parameters except for variances will be set to zeros.,630.9996914786093,637.4763407286883,2.312730500008911,
3,CTS-001,RETAIL,SARIMA_011_011,SUCCESS,True,8,False,1,UserWarning,Too few observations to estimate starting parameters for seasonal ARMA. All parameters except for variances will be set to zeros.,805.7700987178462,812.8015149834072,1.7828748999163508,
4,CTS-001,RETAIL,SARIMA_011_011,SUCCESS,True,11,False,1,UserWarning,Too few observations to estimate starting parameters for seasonal ARMA. All parameters except for variances will be set to zeros.,936.1620156059325,943.6614446169233,2.399174600141123,
5,CTS-001,RETAIL,SARIMA_011_011,SUCCESS,True,12,False,1,UserWarning,Too few observations to estimate starting parameters for seasonal ARMA. All parameters except for variances will be set to zeros.,1064.1857687887625,1072.0899557534515,2.4971150998026133,
6,CTS-001,RETAIL,SARIMA_011_011,SUCCESS,True,11,False,1,UserWarning,Too few observations to estimate starting parameters for seasonal ARMA. All parameters except for variances will be set to zeros.,1193.8063640816913,1202.0671346550105,2.5662505000364035,
7,CTS-001,RETAIL,SARIMA_011_011,SUCCESS,True,21,False,1,UserWarning,Too few observations to estimate starting parameters for seasonal ARMA. All parameters except for variances will be set to zeros.,1320.3021679182602,1328.8816051313452,5.653252399992198,
8,CTS-001,RETAIL,SARIMA_011_011,SUCCESS,True,13,False,1,UserWarning,Too few observations to estimate starting parameters for seasonal ARMA. All parameters except for variances will be set to zeros.,1452.4675413209025,1461.3350224937062,4.178208599798381,
9,CTS-001,RETAIL,SARIMA_011_011,SUCCESS,True,17,False,1,UserWarning,Too few observations to estimate starting parameters for seasonal ARMA. All parameters except for variances will be set to zeros.,1582.5031192903916,1591.6333946411494,6.01292399992235,
10,CTS-001,RETAIL,SARIMA_011_011,SUCCESS,True,14,False,1,UserWarning,Non-invertible starting seasonal moving average Using zeros as starting parameters.,1709.1456915104409,1718.5175834486506,5.293208900140598,
11,CTS-001,RETAIL,SARIMA_011_011,SUCCESS,True,10,False,1,UserWarning,Non-invertible starting seasonal moving average Using zeros as starting parameters.,1839.9133870110722,1849.5088781048698,4.410527299856767,
12,CTS-001,RETAIL,SARIMA_011_011,SUCCESS,True,9,False,1,UserWarning,Non-invertible starting seasonal moving average Using zeros as starting parameters.,1969.025392486652,1978.828966963842,4.114879700122401,
1,IMH-001,ECOM,SARIMA_011_011,SUCCESS,True,3,False,1,UserWarning,Too few observations to estimate starting parameters for seasonal ARMA. All parameters except for variances will be set to zeros.,592.5723359836187,598.3678128817917,1.2632896001450717,
2,IMH-001,ECOM,SARIMA_011_011,SUCCESS,True,13,False,1,UserWarning,Too few observations to estimate starting parameters for seasonal ARMA. All parameters except for variances will be set to zeros.,729.4353632042939,735.912012454373,3.1441141001414508,
3,IMH-001,ECOM,SARIMA_011_011,SUCCESS,True,15,False,1,UserWarning,Too few observations to estimate starting parameters for seasonal ARMA. All parameters except for variances will be set to zeros.,892.0182860107786,899.0497022763396,3.2526291999965906,
4,IMH-001,ECOM,SARIMA_011_011,SUCCESS,True,12,False,1,UserWarning,Too few observations to estimate starting parameters for seasonal ARMA. All parameters except for variances will be set to zeros.,1057.988998421124,1065.4884274321148,2.973821199964732,
5,IMH-001,ECOM,SARIMA_011_011,SUCCESS,True,15,False,1,UserWarning,Too few observations to estimate starting parameters for seasonal ARMA. All parameters except for variances will be set to zeros.,1195.66752994211,1203.5717169067989,4.027132499963045,
6,IMH-001,ECOM,SARIMA_011_011,SUCCESS,True,15,False,1,UserWarning,Too few observations to estimate starting parameters for seasonal ARMA. All parameters except for variances will be set to zeros.,1333.1131025666216,1341.3738731399408,4.269815100124106,
7,IMH-001,ECOM,SARIMA_011_011,SUCCESS,True,11,False,1,UserWarning,Too few observations to estimate starting parameters for seasonal ARMA. All parameters except for variances will be set to zeros.,1513.376738591604,1521.9561758046889,3.4032692001201212,
8,IMH-001,ECOM,SARIMA_011_011,SUCCESS,True,18,False,1,UserWarning,Too few observations to estimate starting parameters for seasonal ARMA. All parameters except for variances will be set to zeros.,1665.448520400646,1674.3160015734497,5.585370300104842,
9,IMH-001,ECOM,SARIMA_011_011,SUCCESS,True,17,False,1,UserWarning,Too few observations to estimate starting parameters for seasonal ARMA. All parameters except for variances will be set to zeros.,1809.0513781014688,1818.1816534522266,6.112184299854562,
10,IMH-001,ECOM,SARIMA_011_011,SUCCESS,True,21,False,1,UserWarning,Non-invertible starting seasonal moving average Using zeros as starting parameters.,1945.041176646821,1954.4130685850307,7.183152999961749,
11,IMH-001,ECOM,SARIMA_011_011,SUCCESS,True,11,False,1,UserWarning,Non-invertible starting seasonal moving average Using zeros as starting parameters.,2103.2427407956675,2112.838231889465,4.653264599852264,
12,IMH-001,ECOM,SARIMA_011_011,SUCCESS,True,11,False,1,UserWarning,Non-invertible starting seasonal moving average Using zeros as starting parameters.,2254.561252319356,2264.364826796546,4.713008500169963,
