forecast_week_start,horizon_week,sku_id,channel_id,base_forecast_units,mild_scenario_forecast_units,severe_scenario_forecast_units,committed_receipt_units,base_beginning_inventory_units,base_return_restock_units,base_available_units,base_shipped_units,base_lost_demand_units,base_ending_inventory_units,base_fill_rate,base_weeks_of_supply,safety_stock_units,service_target_fill_rate,priority_tier,risk_type,planner_action,series_weekly_service_exception_flag,weekly_base_fill_below_target_flag,data_classification,provenance
2026-06-29,1,APS-001,ECOM,136.169,134.671,137.292,216.528,758.867,7.914,983.309,136.169,0.0,847.14,1.0,6.097,347.388,0.92,P2,LOW_COVERAGE_RISK,PROTECT,0,0,DERIVED,DERIVED from frozen DemandIQ_Step4D_Final_13Week_Forecast.csv and DemandIQ_Step5_IBP_Decision_Plan.csv
2026-07-06,2,APS-001,ECOM,136.925,135.472,137.819,0.0,847.14,8.102,855.242,136.925,0.0,718.317,1.0,5.03,357.024,0.92,P2,LOW_COVERAGE_RISK,PROTECT,0,0,DERIVED,DERIVED from frozen DemandIQ_Step4D_Final_13Week_Forecast.csv and DemandIQ_Step5_IBP_Decision_Plan.csv
2026-07-13,3,APS-001,ECOM,138.086,136.446,139.344,0.0,718.317,8.147,726.464,138.086,0.0,588.378,1.0,3.959,371.516,0.92,P2,LOW_COVERAGE_RISK,PROTECT,0,0,DERIVED,DERIVED from frozen DemandIQ_Step4D_Final_13Week_Forecast.csv and DemandIQ_Step5_IBP_Decision_Plan.csv
2026-07-20,4,APS-001,ECOM,144.64,142.555,145.826,0.0,588.378,8.216,596.594,144.64,0.0,451.954,1.0,2.909,388.47,0.92,P2,LOW_COVERAGE_RISK,PROTECT,0,0,DERIVED,DERIVED from frozen DemandIQ_Step4D_Final_13Week_Forecast.csv and DemandIQ_Step5_IBP_Decision_Plan.csv
2026-07-27,5,APS-001,ECOM,151.588,149.403,152.969,594.285,451.954,8.606,1054.845,151.588,0.0,903.257,1.0,5.658,399.122,0.92,P2,LOW_COVERAGE_RISK,PROTECT,0,0,DERIVED,DERIVED from frozen DemandIQ_Step4D_Final_13Week_Forecast.csv and DemandIQ_Step5_IBP_Decision_Plan.csv
2026-08-03,6,APS-001,ECOM,160.112,158.114,161.57,0.0,903.257,9.019,912.277,160.112,0.0,752.165,1.0,4.638,405.421,0.92,P2,LOW_COVERAGE_RISK,PROTECT,0,0,DERIVED,DERIVED from frozen DemandIQ_Step4D_Final_13Week_Forecast.csv and DemandIQ_Step5_IBP_Decision_Plan.csv
2026-08-10,7,APS-001,ECOM,165.212,163.459,166.783,0.0,752.165,9.527,761.691,165.212,0.0,596.479,1.0,3.243,459.783,0.92,P2,LOW_COVERAGE_RISK,PROTECT,0,0,DERIVED,DERIVED from frozen DemandIQ_Step4D_Final_13Week_Forecast.csv and DemandIQ_Step5_IBP_Decision_Plan.csv
2026-08-17,8,APS-001,ECOM,161.683,159.968,163.156,0.0,596.479,9.83,606.309,161.683,0.0,444.626,1.0,2.181,509.604,0.92,P2,LOW_COVERAGE_RISK,PROTECT,0,0,DERIVED,DERIVED from frozen DemandIQ_Step4D_Final_13Week_Forecast.csv and DemandIQ_Step5_IBP_Decision_Plan.csv
2026-08-24,9,APS-001,ECOM,161.666,159.952,163.139,0.0,444.626,9.62,454.247,161.666,0.0,292.581,1.0,1.3,562.637,0.92,P2,LOW_COVERAGE_RISK,PROTECT,0,0,DERIVED,DERIVED from frozen DemandIQ_Step4D_Final_13Week_Forecast.csv and DemandIQ_Step5_IBP_Decision_Plan.csv
2026-08-31,10,APS-001,ECOM,247.092,244.439,249.443,936.371,292.581,9.619,1238.571,247.092,0.0,991.479,1.0,4.059,610.714,0.92,P2,LOW_COVERAGE_RISK,PROTECT,0,0,DERIVED,DERIVED from frozen DemandIQ_Step4D_Final_13Week_Forecast.csv and DemandIQ_Step5_IBP_Decision_Plan.csv
2026-09-07,11,APS-001,ECOM,244.925,242.149,247.55,0.0,991.479,14.702,1006.181,244.925,0.0,761.256,1.0,3.116,610.714,0.92,P2,LOW_COVERAGE_RISK,PROTECT,0,0,DERIVED,DERIVED from frozen DemandIQ_Step4D_Final_13Week_Forecast.csv and DemandIQ_Step5_IBP_Decision_Plan.csv
2026-09-14,12,APS-001,ECOM,246.536,243.594,249.178,0.0,761.256,14.573,775.829,246.536,0.0,529.293,1.0,2.167,610.714,0.92,P2,LOW_COVERAGE_RISK,PROTECT,0,0,DERIVED,DERIVED from frozen DemandIQ_Step4D_Final_13Week_Forecast.csv and DemandIQ_Step5_IBP_Decision_Plan.csv
2026-09-21,13,APS-001,ECOM,238.589,235.061,241.146,0.0,529.293,14.669,543.962,238.589,0.0,305.373,1.0,1.25,610.714,0.92,P2,LOW_COVERAGE_RISK,PROTECT,0,0,DERIVED,DERIVED from frozen DemandIQ_Step4D_Final_13Week_Forecast.csv and DemandIQ_Step5_IBP_Decision_Plan.csv
2026-06-29,1,APS-001,RETAIL,96.43,95.377,97.211,93.054,502.461,4.752,600.268,96.43,0.0,503.838,1.0,5.293,237.992,0.92,P2,LOW_COVERAGE_RISK,PROTECT,0,0,DERIVED,DERIVED from frozen DemandIQ_Step4D_Final_13Week_Forecast.csv and DemandIQ_Step5_IBP_Decision_Plan.csv
2026-07-06,2,APS-001,RETAIL,103.458,102.358,104.129,0.0,503.838,4.773,508.611,103.458,0.0,405.153,1.0,4.245,238.627,0.92,P2,LOW_COVERAGE_RISK,PROTECT,0,0,DERIVED,DERIVED from frozen DemandIQ_Step4D_Final_13Week_Forecast.csv and DemandIQ_Step5_IBP_Decision_Plan.csv
2026-07-13,3,APS-001,RETAIL,89.682,88.614,90.482,0.0,405.153,5.121,410.274,89.682,0.0,320.592,1.0,3.257,246.058,0.92,P2,LOW_COVERAGE_RISK,PROTECT,0,0,DERIVED,DERIVED from frozen DemandIQ_Step4D_Final_13Week_Forecast.csv and DemandIQ_Step5_IBP_Decision_Plan.csv
2026-07-20,4,APS-001,RETAIL,91.218,89.9,91.953,0.0,320.592,4.439,325.031,91.218,0.0,233.813,1.0,2.236,261.399,0.92,P2,LOW_COVERAGE_RISK,PROTECT,0,0,DERIVED,DERIVED from frozen DemandIQ_Step4D_Final_13Week_Forecast.csv and DemandIQ_Step5_IBP_Decision_Plan.csv
2026-07-27,5,APS-001,RETAIL,97.445,96.037,98.314,342.639,233.813,4.515,580.967,97.445,0.0,483.522,1.0,4.393,275.167,0.92,P2,LOW_COVERAGE_RISK,PROTECT,0,0,DERIVED,DERIVED from frozen DemandIQ_Step4D_Final_13Week_Forecast.csv and DemandIQ_Step5_IBP_Decision_Plan.csv
2026-08-03,6,APS-001,RETAIL,115.347,113.908,116.375,0.0,483.522,4.824,488.346,115.347,0.0,372.999,1.0,3.324,280.565,0.92,P2,LOW_COVERAGE_RISK,PROTECT,0,0,DERIVED,DERIVED from frozen DemandIQ_Step4D_Final_13Week_Forecast.csv and DemandIQ_Step5_IBP_Decision_Plan.csv
2026-08-10,7,APS-001,RETAIL,114.229,113.014,115.291,0.0,372.999,5.71,378.709,114.229,0.0,264.48,1.0,2.148,307.789,0.92,P2,LOW_COVERAGE_RISK,PROTECT,0,0,DERIVED,DERIVED from frozen DemandIQ_Step4D_Final_13Week_Forecast.csv and DemandIQ_Step5_IBP_Decision_Plan.csv
2026-08-17,8,APS-001,RETAIL,113.247,112.042,114.256,0.0,264.48,5.654,270.134,113.247,0.0,156.887,1.0,1.144,342.798,0.92,P2,LOW_COVERAGE_RISK,PROTECT,0,0,DERIVED,DERIVED from frozen DemandIQ_Step4D_Final_13Week_Forecast.csv and DemandIQ_Step5_IBP_Decision_Plan.csv
2026-08-24,9,APS-001,RETAIL,106.081,104.953,107.027,0.0,156.887,5.606,162.493,106.081,0.0,56.412,1.0,0.37,380.734,0.92,P2,LOW_COVERAGE_RISK,PROTECT,0,0,DERIVED,DERIVED from frozen DemandIQ_Step4D_Final_13Week_Forecast.csv and DemandIQ_Step5_IBP_Decision_Plan.csv
2026-08-31,10,APS-001,RETAIL,158.905,157.198,160.382,624.5,56.412,5.251,686.162,158.905,0.0,527.257,1.0,3.175,415.224,0.92,P2,LOW_COVERAGE_RISK,PROTECT,0,0,DERIVED,DERIVED from frozen DemandIQ_Step4D_Final_13Week_Forecast.csv and DemandIQ_Step5_IBP_Decision_Plan.csv
2026-09-07,11,APS-001,RETAIL,170.243,168.312,172.023,0.0,527.257,7.866,535.123,170.243,0.0,364.88,1.0,2.197,415.224,0.92,P2,LOW_COVERAGE_RISK,PROTECT,0,0,DERIVED,DERIVED from frozen DemandIQ_Step4D_Final_13Week_Forecast.csv and DemandIQ_Step5_IBP_Decision_Plan.csv
2026-09-14,12,APS-001,RETAIL,173.946,171.819,175.765,0.0,364.88,8.427,373.307,173.946,0.0,199.361,1.0,1.2,415.224,0.92,P2,LOW_COVERAGE_RISK,PROTECT,0,0,DERIVED,DERIVED from frozen DemandIQ_Step4D_Final_13Week_Forecast.csv and DemandIQ_Step5_IBP_Decision_Plan.csv
2026-09-21,13,APS-001,RETAIL,161.264,158.898,162.95,0.0,199.361,8.61,207.971,161.264,0.0,46.707,1.0,0.281,415.224,0.92,P2,LOW_COVERAGE_RISK,PROTECT,0,0,DERIVED,DERIVED from frozen DemandIQ_Step4D_Final_13Week_Forecast.csv and DemandIQ_Step5_IBP_Decision_Plan.csv
2026-06-29,1,APS-001,WHOLESALE,79.012,78.116,79.679,76.438,419.581,0.82,496.839,79.012,0.0,417.827,1.0,5.07,206.026,0.92,P1,WEEKLY_SERVICE_RISK,ESCALATE,1,0,DERIVED,DERIVED from frozen DemandIQ_Step4D_Final_13Week_Forecast.csv and DemandIQ_Step5_IBP_Decision_Plan.csv
2026-07-06,2,APS-001,WHOLESALE,86.943,85.938,87.562,0.0,417.827,0.79,418.617,86.943,0.0,331.674,1.0,3.961,209.346,0.92,P1,WEEKLY_SERVICE_RISK,ESCALATE,1,0,DERIVED,DERIVED from frozen DemandIQ_Step4D_Final_13Week_Forecast.csv and DemandIQ_Step5_IBP_Decision_Plan.csv
2026-07-13,3,APS-001,WHOLESALE,80.485,79.491,81.217,0.0,331.674,0.869,332.544,80.485,0.0,252.059,1.0,3.008,209.522,0.92,P1,WEEKLY_SERVICE_RISK,ESCALATE,1,0,DERIVED,DERIVED from frozen DemandIQ_Step4D_Final_13Week_Forecast.csv and DemandIQ_Step5_IBP_Decision_Plan.csv
2026-07-20,4,APS-001,WHOLESALE,83.202,82.042,83.905,0.0,252.059,0.805,252.864,83.202,0.0,169.662,1.0,1.95,217.546,0.92,P1,WEEKLY_SERVICE_RISK,ESCALATE,1,0,DERIVED,DERIVED from frozen DemandIQ_Step4D_Final_13Week_Forecast.csv and DemandIQ_Step5_IBP_Decision_Plan.csv
2026-07-27,5,APS-001,WHOLESALE,84.324,83.149,85.092,206.782,169.662,0.832,377.276,84.324,0.0,292.952,1.0,3.35,218.61,0.92,P1,WEEKLY_SERVICE_RISK,ESCALATE,1,0,DERIVED,DERIVED from frozen DemandIQ_Step4D_Final_13Week_Forecast.csv and DemandIQ_Step5_IBP_Decision_Plan.csv
2026-08-03,6,APS-001,WHOLESALE,87.224,86.065,88.018,0.0,292.952,0.843,293.795,87.224,0.0,206.571,1.0,2.302,224.347,0.92,P1,WEEKLY_SERVICE_RISK,ESCALATE,1,0,DERIVED,DERIVED from frozen DemandIQ_Step4D_Final_13Week_Forecast.csv and DemandIQ_Step5_IBP_Decision_Plan.csv
2026-08-10,7,APS-001,WHOLESALE,93.324,92.246,94.204,0.0,206.571,0.872,207.443,93.324,0.0,114.119,1.0,1.14,250.317,0.92,P1,WEEKLY_SERVICE_RISK,ESCALATE,1,0,DERIVED,DERIVED from frozen DemandIQ_Step4D_Final_13Week_Forecast.csv and DemandIQ_Step5_IBP_Decision_Plan.csv
2026-08-17,8,APS-001,WHOLESALE,84.904,83.923,85.677,0.0,114.119,0.933,115.052,84.904,0.0,30.148,1.0,0.277,272.277,0.92,P1,WEEKLY_SERVICE_RISK,ESCALATE,1,0,DERIVED,DERIVED from frozen DemandIQ_Step4D_Final_13Week_Forecast.csv and DemandIQ_Step5_IBP_Decision_Plan.csv
2026-08-24,9,APS-001,WHOLESALE,93.503,92.423,94.354,0.0,30.148,0.849,30.997,30.997,62.506,0.0,0.332,0.0,300.878,0.92,P1,WEEKLY_SERVICE_RISK,ESCALATE,1,1,DERIVED,DERIVED from frozen DemandIQ_Step4D_Final_13Week_Forecast.csv and DemandIQ_Step5_IBP_Decision_Plan.csv
2026-08-31,10,APS-001,WHOLESALE,128.776,127.289,129.991,510.259,0.0,0.31,510.569,128.776,0.0,381.793,1.0,2.846,335.369,0.92,P1,WEEKLY_SERVICE_RISK,ESCALATE,1,0,DERIVED,DERIVED from frozen DemandIQ_Step4D_Final_13Week_Forecast.csv and DemandIQ_Step5_IBP_Decision_Plan.csv
2026-09-07,11,APS-001,WHOLESALE,128.46,126.976,129.8,0.0,381.793,1.288,383.08,128.46,0.0,254.62,1.0,1.898,335.369,0.92,P1,WEEKLY_SERVICE_RISK,ESCALATE,1,0,DERIVED,DERIVED from frozen DemandIQ_Step4D_Final_13Week_Forecast.csv and DemandIQ_Step5_IBP_Decision_Plan.csv
2026-09-14,12,APS-001,WHOLESALE,130.666,129.157,132.029,0.0,254.62,1.285,255.905,130.666,0.0,125.239,1.0,0.934,335.369,0.92,P1,WEEKLY_SERVICE_RISK,ESCALATE,1,0,DERIVED,DERIVED from frozen DemandIQ_Step4D_Final_13Week_Forecast.csv and DemandIQ_Step5_IBP_Decision_Plan.csv
2026-09-21,13,APS-001,WHOLESALE,148.688,146.517,150.239,0.0,125.239,1.307,126.546,126.546,22.142,0.0,0.851,0.0,335.369,0.92,P1,WEEKLY_SERVICE_RISK,ESCALATE,1,1,DERIVED,DERIVED from frozen DemandIQ_Step4D_Final_13Week_Forecast.csv and DemandIQ_Step5_IBP_Decision_Plan.csv
2026-06-29,1,CTS-001,ECOM,466.673,462.527,468.773,1709.638,1667.095,24.356,3401.089,466.673,0.0,2934.416,1.0,6.347,1155.825,0.92,P2,LOW_COVERAGE_RISK,PROTECT,0,0,DERIVED,DERIVED from frozen DemandIQ_Step4D_Final_13Week_Forecast.csv and DemandIQ_Step5_IBP_Decision_Plan.csv
2026-07-06,2,CTS-001,ECOM,478.195,474.224,480.317,0.0,2934.416,27.767,2962.183,478.195,0.0,2483.988,1.0,5.337,1163.619,0.92,P2,LOW_COVERAGE_RISK,PROTECT,0,0,DERIVED,DERIVED from frozen DemandIQ_Step4D_Final_13Week_Forecast.csv and DemandIQ_Step5_IBP_Decision_Plan.csv
2026-07-13,3,CTS-001,ECOM,453.226,449.135,455.279,0.0,2483.988,28.453,2512.44,453.226,0.0,2059.214,1.0,4.431,1161.914,0.92,P2,LOW_COVERAGE_RISK,PROTECT,0,0,DERIVED,DERIVED from frozen DemandIQ_Step4D_Final_13Week_Forecast.csv and DemandIQ_Step5_IBP_Decision_Plan.csv
2026-07-20,4,CTS-001,ECOM,451.226,446.502,453.76,0.0,2059.214,26.967,2086.181,451.226,0.0,1634.955,1.0,3.428,1192.326,0.92,P2,LOW_COVERAGE_RISK,PROTECT,0,0,DERIVED,DERIVED from frozen DemandIQ_Step4D_Final_13Week_Forecast.csv and DemandIQ_Step5_IBP_Decision_Plan.csv
2026-07-27,5,CTS-001,ECOM,479.143,474.127,481.313,1046.027,1634.955,26.848,2707.83,479.143,0.0,2228.687,1.0,4.643,1199.909,0.92,P2,LOW_COVERAGE_RISK,PROTECT,0,0,DERIVED,DERIVED from frozen DemandIQ_Step4D_Final_13Week_Forecast.csv and DemandIQ_Step5_IBP_Decision_Plan.csv
2026-08-03,6,CTS-001,ECOM,475.468,470.815,477.622,0.0,2228.687,28.509,2257.196,475.468,0.0,1781.728,1.0,3.783,1177.43,0.92,P2,LOW_COVERAGE_RISK,PROTECT,0,0,DERIVED,DERIVED from frozen DemandIQ_Step4D_Final_13Week_Forecast.csv and DemandIQ_Step5_IBP_Decision_Plan.csv
2026-08-10,7,CTS-001,ECOM,501.885,497.717,504.446,0.0,1781.728,28.29,1810.019,501.885,0.0,1308.134,1.0,2.624,1246.536,0.92,P2,LOW_COVERAGE_RISK,PROTECT,0,0,DERIVED,DERIVED from frozen DemandIQ_Step4D_Final_13Week_Forecast.csv and DemandIQ_Step5_IBP_Decision_Plan.csv
2026-08-17,8,CTS-001,ECOM,463.359,459.511,465.458,0.0,1308.134,29.862,1337.996,463.359,0.0,874.637,1.0,1.688,1295.358,0.92,P2,LOW_COVERAGE_RISK,PROTECT,0,0,DERIVED,DERIVED from frozen DemandIQ_Step4D_Final_13Week_Forecast.csv and DemandIQ_Step5_IBP_Decision_Plan.csv
2026-08-24,9,CTS-001,ECOM,443.176,439.496,445.183,0.0,874.637,27.57,902.207,443.176,0.0,459.031,1.0,0.846,1357.038,0.92,P2,LOW_COVERAGE_RISK,PROTECT,0,0,DERIVED,DERIVED from frozen DemandIQ_Step4D_Final_13Week_Forecast.csv and DemandIQ_Step5_IBP_Decision_Plan.csv
2026-08-31,10,CTS-001,ECOM,586.037,581.171,589.103,2103.537,459.031,26.369,2588.937,586.037,0.0,2002.9,1.0,3.448,1452.01,0.92,P2,LOW_COVERAGE_RISK,PROTECT,0,0,DERIVED,DERIVED from frozen DemandIQ_Step4D_Final_13Week_Forecast.csv and DemandIQ_Step5_IBP_Decision_Plan.csv
2026-09-07,11,CTS-001,ECOM,580.001,575.165,584.255,0.0,2002.9,34.869,2037.769,580.001,0.0,1457.768,1.0,2.51,1452.01,0.92,P2,LOW_COVERAGE_RISK,PROTECT,0,0,DERIVED,DERIVED from frozen DemandIQ_Step4D_Final_13Week_Forecast.csv and DemandIQ_Step5_IBP_Decision_Plan.csv
2026-09-14,12,CTS-001,ECOM,562.047,557.302,566.17,0.0,1457.768,34.51,1492.278,562.047,0.0,930.231,1.0,1.602,1452.01,0.92,P2,LOW_COVERAGE_RISK,PROTECT,0,0,DERIVED,DERIVED from frozen DemandIQ_Step4D_Final_13Week_Forecast.csv and DemandIQ_Step5_IBP_Decision_Plan.csv
2026-09-21,13,CTS-001,ECOM,595.131,588.167,599.497,0.0,930.231,33.442,963.673,595.131,0.0,368.542,1.0,0.635,1452.01,0.92,P2,LOW_COVERAGE_RISK,PROTECT,0,0,DERIVED,DERIVED from frozen DemandIQ_Step4D_Final_13Week_Forecast.csv and DemandIQ_Step5_IBP_Decision_Plan.csv
2026-06-29,1,CTS-001,RETAIL,305.563,302.822,306.939,1055.514,707.045,14.182,1776.741,305.563,0.0,1471.178,1.0,4.772,770.722,0.92,P1,WEEKLY_SERVICE_RISK,ESCALATE,1,0,DERIVED,DERIVED from frozen DemandIQ_Step4D_Final_13Week_Forecast.csv and DemandIQ_Step5_IBP_Decision_Plan.csv
2026-07-06,2,CTS-001,RETAIL,326.908,324.132,328.364,0.0,1471.178,15.125,1486.303,326.908,0.0,1159.395,1.0,3.681,787.465,0.92,P1,WEEKLY_SERVICE_RISK,ESCALATE,1,0,DERIVED,DERIVED from frozen DemandIQ_Step4D_Final_13Week_Forecast.csv and DemandIQ_Step5_IBP_Decision_Plan.csv
2026-07-13,3,CTS-001,RETAIL,299.867,297.114,301.225,0.0,1159.395,16.182,1175.577,299.867,0.0,875.71,1.0,2.781,787.302,0.92,P1,WEEKLY_SERVICE_RISK,ESCALATE,1,0,DERIVED,DERIVED from frozen DemandIQ_Step4D_Final_13Week_Forecast.csv and DemandIQ_Step5_IBP_Decision_Plan.csv
2026-07-20,4,CTS-001,RETAIL,300.818,297.644,302.524,0.0,875.71,14.843,890.554,300.818,0.0,589.736,1.0,1.82,810.214,0.92,P1,WEEKLY_SERVICE_RISK,ESCALATE,1,0,DERIVED,DERIVED from frozen DemandIQ_Step4D_Final_13Week_Forecast.csv and DemandIQ_Step5_IBP_Decision_Plan.csv
2026-07-27,5,CTS-001,RETAIL,332.351,328.844,333.856,887.111,589.736,14.89,1491.737,332.351,0.0,1159.386,1.0,3.499,828.331,0.92,P1,WEEKLY_SERVICE_RISK,ESCALATE,1,0,DERIVED,DERIVED from frozen DemandIQ_Step4D_Final_13Week_Forecast.csv and DemandIQ_Step5_IBP_Decision_Plan.csv
2026-08-03,6,CTS-001,RETAIL,326.648,323.387,328.127,0.0,1159.386,16.451,1175.837,326.648,0.0,849.189,1.0,2.52,842.396,0.92,P1,WEEKLY_SERVICE_RISK,ESCALATE,1,0,DERIVED,DERIVED from frozen DemandIQ_Step4D_Final_13Week_Forecast.csv and DemandIQ_Step5_IBP_Decision_Plan.csv
2026-08-10,7,CTS-001,RETAIL,336.526,333.669,338.251,0.0,849.189,16.169,865.359,336.526,0.0,528.833,1.0,1.501,881.026,0.92,P1,WEEKLY_SERVICE_RISK,ESCALATE,1,0,DERIVED,DERIVED from frozen DemandIQ_Step4D_Final_13Week_Forecast.csv and DemandIQ_Step5_IBP_Decision_Plan.csv
2026-08-17,8,CTS-001,RETAIL,329.805,327.004,331.298,0.0,528.833,16.658,545.491,329.805,0.0,215.686,1.0,0.583,924.958,0.92,P1,WEEKLY_SERVICE_RISK,ESCALATE,1,0,DERIVED,DERIVED from frozen DemandIQ_Step4D_Final_13Week_Forecast.csv and DemandIQ_Step5_IBP_Decision_Plan.csv
2026-08-24,9,CTS-001,RETAIL,354.855,351.842,356.462,0.0,215.686,16.325,232.011,232.011,122.844,0.0,0.654,0.0,992.331,0.92,P1,WEEKLY_SERVICE_RISK,ESCALATE,1,1,DERIVED,DERIVED from frozen DemandIQ_Step4D_Final_13Week_Forecast.csv and DemandIQ_Step5_IBP_Decision_Plan.csv
2026-08-31,10,CTS-001,RETAIL,388.456,385.157,390.486,1493.669,0.0,11.485,1505.153,388.456,0.0,1116.697,1.0,2.715,1028.153,0.92,P1,WEEKLY_SERVICE_RISK,ESCALATE,1,0,DERIVED,DERIVED from frozen DemandIQ_Step4D_Final_13Week_Forecast.csv and DemandIQ_Step5_IBP_Decision_Plan.csv
2026-09-07,11,CTS-001,RETAIL,406.817,403.362,409.794,0.0,1116.697,19.229,1135.926,406.817,0.0,729.109,1.0,1.773,1028.153,0.92,P1,WEEKLY_SERVICE_RISK,ESCALATE,1,0,DERIVED,DERIVED from frozen DemandIQ_Step4D_Final_13Week_Forecast.csv and DemandIQ_Step5_IBP_Decision_Plan.csv
2026-09-14,12,CTS-001,RETAIL,437.601,433.885,440.804,0.0,729.109,20.137,749.246,437.601,0.0,311.645,1.0,0.758,1028.153,0.92,P1,WEEKLY_SERVICE_RISK,ESCALATE,1,0,DERIVED,DERIVED from frozen DemandIQ_Step4D_Final_13Week_Forecast.csv and DemandIQ_Step5_IBP_Decision_Plan.csv
2026-09-21,13,CTS-001,RETAIL,412.171,407.43,415.187,0.0,311.645,21.661,333.306,333.306,78.865,0.0,0.809,0.0,1028.153,0.92,P1,WEEKLY_SERVICE_RISK,ESCALATE,1,1,DERIVED,DERIVED from frozen DemandIQ_Step4D_Final_13Week_Forecast.csv and DemandIQ_Step5_IBP_Decision_Plan.csv
2026-06-29,1,CTS-001,WHOLESALE,267.0,264.657,268.206,1554.017,833.966,2.055,2390.038,267.0,0.0,2123.038,1.0,8.782,604.375,0.92,P2,LOW_COVERAGE_RISK,PROTECT,0,0,DERIVED,DERIVED from frozen DemandIQ_Step4D_Final_13Week_Forecast.csv and DemandIQ_Step5_IBP_Decision_Plan.csv
2026-07-06,2,CTS-001,WHOLESALE,226.5,224.629,227.514,0.0,2123.038,2.67,2125.708,226.5,0.0,1899.208,1.0,7.343,646.562,0.92,P2,LOW_COVERAGE_RISK,PROTECT,0,0,DERIVED,DERIVED from frozen DemandIQ_Step4D_Final_13Week_Forecast.csv and DemandIQ_Step5_IBP_Decision_Plan.csv
2026-07-13,3,CTS-001,WHOLESALE,223.5,221.498,224.515,0.0,1899.208,2.265,1901.473,223.5,0.0,1677.973,1.0,6.401,655.312,0.92,P2,LOW_COVERAGE_RISK,PROTECT,0,0,DERIVED,DERIVED from frozen DemandIQ_Step4D_Final_13Week_Forecast.csv and DemandIQ_Step5_IBP_Decision_Plan.csv
2026-07-20,4,CTS-001,WHOLESALE,250.0,247.41,251.418,0.0,1677.973,2.235,1680.208,250.0,0.0,1430.208,1.0,5.309,673.438,0.92,P2,LOW_COVERAGE_RISK,PROTECT,0,0,DERIVED,DERIVED from frozen DemandIQ_Step4D_Final_13Week_Forecast.csv and DemandIQ_Step5_IBP_Decision_Plan.csv
2026-07-27,5,CTS-001,WHOLESALE,334.5,331.035,336.019,412.574,1430.208,2.5,1845.283,334.5,0.0,1510.783,1.0,5.584,676.435,0.92,P2,LOW_COVERAGE_RISK,PROTECT,0,0,DERIVED,DERIVED from frozen DemandIQ_Step4D_Final_13Week_Forecast.csv and DemandIQ_Step5_IBP_Decision_Plan.csv
2026-08-03,6,CTS-001,WHOLESALE,240.5,238.165,241.592,0.0,1510.783,3.345,1514.128,240.5,0.0,1273.628,1.0,5.437,585.638,0.92,P2,LOW_COVERAGE_RISK,PROTECT,0,0,DERIVED,DERIVED from frozen DemandIQ_Step4D_Final_13Week_Forecast.csv and DemandIQ_Step5_IBP_Decision_Plan.csv
2026-08-10,7,CTS-001,WHOLESALE,252.5,250.414,253.795,0.0,1273.628,2.405,1276.033,252.5,0.0,1023.533,1.0,3.826,668.762,0.92,P2,LOW_COVERAGE_RISK,PROTECT,0,0,DERIVED,DERIVED from frozen DemandIQ_Step4D_Final_13Week_Forecast.csv and DemandIQ_Step5_IBP_Decision_Plan.csv
2026-08-17,8,CTS-001,WHOLESALE,254.796,252.692,255.953,0.0,1023.533,2.525,1026.058,254.796,0.0,771.262,1.0,2.466,781.888,0.92,P2,LOW_COVERAGE_RISK,PROTECT,0,0,DERIVED,DERIVED from frozen DemandIQ_Step4D_Final_13Week_Forecast.csv and DemandIQ_Step5_IBP_Decision_Plan.csv
2026-08-24,9,CTS-001,WHOLESALE,189.224,187.66,190.083,0.0,771.262,2.548,773.81,189.224,0.0,584.586,1.0,1.81,807.328,0.92,P2,LOW_COVERAGE_RISK,PROTECT,0,0,DERIVED,DERIVED from frozen DemandIQ_Step4D_Final_13Week_Forecast.csv and DemandIQ_Step5_IBP_Decision_Plan.csv
2026-08-31,10,CTS-001,WHOLESALE,373.5,370.415,375.452,1077.471,584.586,1.892,1663.949,373.5,0.0,1290.449,1.0,3.783,852.699,0.92,P2,LOW_COVERAGE_RISK,PROTECT,0,0,DERIVED,DERIVED from frozen DemandIQ_Step4D_Final_13Week_Forecast.csv and DemandIQ_Step5_IBP_Decision_Plan.csv
2026-09-07,11,CTS-001,WHOLESALE,433.5,429.889,436.66,0.0,1290.449,3.735,1294.184,433.5,0.0,860.684,1.0,2.523,852.699,0.92,P2,LOW_COVERAGE_RISK,PROTECT,0,0,DERIVED,DERIVED from frozen DemandIQ_Step4D_Final_13Week_Forecast.csv and DemandIQ_Step5_IBP_Decision_Plan.csv
2026-09-14,12,CTS-001,WHOLESALE,295.5,292.976,297.654,0.0,860.684,4.335,865.019,295.5,0.0,569.519,1.0,1.67,852.699,0.92,P2,LOW_COVERAGE_RISK,PROTECT,0,0,DERIVED,DERIVED from frozen DemandIQ_Step4D_Final_13Week_Forecast.csv and DemandIQ_Step5_IBP_Decision_Plan.csv
