planning_month,sku_id,v0_units,v1_units,absolute_variance_units,percentage_variance,direction,reconciliation_status,v2_consensus_units,consensus_adjustment_units,consensus_adjustment_pct,decision_required
2026-09,HIS-001,1225.58,1359.2,133.62,10.903,COMMERCIAL_ABOVE_ANALYTICAL,PLANNER_REVIEW,1348.14,122.56,10.0,Planner may accept bounded documented override (cap +/-10%)
2026-10,HIS-001,2600.71,2884.26,283.55,10.903,COMMERCIAL_ABOVE_ANALYTICAL,PLANNER_REVIEW,2860.78,260.07,10.0,Planner may accept bounded documented override (cap +/-10%)
2026-11,HIS-001,3062.01,3395.85,333.84,10.903,COMMERCIAL_ABOVE_ANALYTICAL,PLANNER_REVIEW,3368.21,306.2,10.0,Planner may accept bounded documented override (cap +/-10%)
2026-12,HIS-001,4283.65,4750.69,467.04,10.903,COMMERCIAL_ABOVE_ANALYTICAL,PLANNER_REVIEW,4712.02,428.37,10.0,Planner may accept bounded documented override (cap +/-10%)
2027-01,HIS-001,3096.58,3434.19,337.61,10.903,COMMERCIAL_ABOVE_ANALYTICAL,PLANNER_REVIEW,3406.24,309.66,10.0,Planner may accept bounded documented override (cap +/-10%)
2027-02,HIS-001,2823.9,3131.79,307.89,10.903,COMMERCIAL_ABOVE_ANALYTICAL,PLANNER_REVIEW,3106.3,282.4,10.0,Planner may accept bounded documented override (cap +/-10%)
2027-03,HIS-001,2353.23,2609.8,256.57,10.903,COMMERCIAL_ABOVE_ANALYTICAL,PLANNER_REVIEW,2588.56,235.33,10.0,Planner may accept bounded documented override (cap +/-10%)
2027-04,HIS-001,2363.47,2621.16,257.69,10.903,COMMERCIAL_ABOVE_ANALYTICAL,PLANNER_REVIEW,2599.82,236.35,10.0,Planner may accept bounded documented override (cap +/-10%)
2027-05,HIS-001,1505.64,1669.8,164.16,10.903,COMMERCIAL_ABOVE_ANALYTICAL,PLANNER_REVIEW,1656.2,150.56,10.0,Planner may accept bounded documented override (cap +/-10%)
2027-06,HIS-001,1307.62,1450.19,142.57,10.903,COMMERCIAL_ABOVE_ANALYTICAL,PLANNER_REVIEW,1438.38,130.76,10.0,Planner may accept bounded documented override (cap +/-10%)
2027-07,HIS-001,1512.1,1676.96,164.86,10.903,COMMERCIAL_ABOVE_ANALYTICAL,PLANNER_REVIEW,1663.31,151.21,10.0,Planner may accept bounded documented override (cap +/-10%)
2027-08,HIS-001,1345.31,1491.99,146.68,10.903,COMMERCIAL_ABOVE_ANALYTICAL,PLANNER_REVIEW,1479.85,134.54,10.001,Planner may accept bounded documented override (cap +/-10%)
2027-09,HIS-001,2154.13,2388.99,234.86,10.903,COMMERCIAL_ABOVE_ANALYTICAL,PLANNER_REVIEW,2369.55,215.42,10.0,Planner may accept bounded documented override (cap +/-10%)
2027-10,HIS-001,2469.88,2739.17,269.29,10.903,COMMERCIAL_ABOVE_ANALYTICAL,PLANNER_REVIEW,2716.87,246.99,10.0,Planner may accept bounded documented override (cap +/-10%)
2027-11,HIS-001,3000.81,3327.98,327.17,10.903,COMMERCIAL_ABOVE_ANALYTICAL,PLANNER_REVIEW,3300.9,300.09,10.0,Planner may accept bounded documented override (cap +/-10%)
2027-12,HIS-001,4091.45,4537.53,446.08,10.903,COMMERCIAL_ABOVE_ANALYTICAL,PLANNER_REVIEW,4500.59,409.14,10.0,Planner may accept bounded documented override (cap +/-10%)
2028-01,HIS-001,2993.23,3319.58,326.35,10.903,COMMERCIAL_ABOVE_ANALYTICAL,PLANNER_REVIEW,3292.56,299.33,10.0,Planner may accept bounded documented override (cap +/-10%)
2028-02,HIS-001,2729.64,3027.24,297.6,10.903,COMMERCIAL_ABOVE_ANALYTICAL,PLANNER_REVIEW,3002.6,272.96,10.0,Planner may accept bounded documented override (cap +/-10%)
TOTAL_18M,HIS-001,44918.94,49816.37,4897.43,10.903,COMMERCIAL_ABOVE_ANALYTICAL,PLANNER_REVIEW,49410.88,4491.94,10.0,Planner may accept bounded documented override (cap +/-10%)
