launch_week_number,week_start,channel_id,planned_units_approved,latent_demand_units_HIDDEN_EVAL_ONLY,observed_sales_units,begin_inventory_units,receipt_units,end_inventory_units,lost_demand_units,stockout_flag,provenance
1,2026-08-31,ECOM,140.0,146.7,146.7,3270.6,0.0,3123.9,0.0,0,SYNTHETIC LAUNCH ACTUALS (seed=7); latent=hidden eval-only
1,2026-08-31,RETAIL,108.9,99.2,99.2,2543.8,0.0,2444.6,0.0,0,SYNTHETIC LAUNCH ACTUALS (seed=7); latent=hidden eval-only
1,2026-08-31,WHOLESALE,62.2,45.4,45.4,1453.6,0.0,1408.2,0.0,0,SYNTHETIC LAUNCH ACTUALS (seed=7); latent=hidden eval-only
2,2026-09-07,ECOM,147.8,146.3,146.3,3123.9,0.0,2977.6,0.0,0,SYNTHETIC LAUNCH ACTUALS (seed=7); latent=hidden eval-only
2,2026-09-07,RETAIL,114.9,98.9,98.9,2444.6,0.0,2345.7,0.0,0,SYNTHETIC LAUNCH ACTUALS (seed=7); latent=hidden eval-only
2,2026-09-07,WHOLESALE,65.7,45.2,45.2,1408.2,0.0,1363.0,0.0,0,SYNTHETIC LAUNCH ACTUALS (seed=7); latent=hidden eval-only
3,2026-09-14,ECOM,155.6,144.2,144.2,2977.6,0.0,2833.4,0.0,0,SYNTHETIC LAUNCH ACTUALS (seed=7); latent=hidden eval-only
3,2026-09-14,RETAIL,121.0,97.5,97.5,2345.7,0.0,2248.1,0.0,0,SYNTHETIC LAUNCH ACTUALS (seed=7); latent=hidden eval-only
3,2026-09-14,WHOLESALE,69.1,44.6,44.6,1363.0,0.0,1318.4,0.0,0,SYNTHETIC LAUNCH ACTUALS (seed=7); latent=hidden eval-only
4,2026-09-21,ECOM,163.3,158.6,158.6,2833.4,0.0,2674.8,0.0,0,SYNTHETIC LAUNCH ACTUALS (seed=7); latent=hidden eval-only
4,2026-09-21,RETAIL,127.0,107.3,107.3,2248.1,0.0,2140.8,0.0,0,SYNTHETIC LAUNCH ACTUALS (seed=7); latent=hidden eval-only
4,2026-09-21,WHOLESALE,72.6,49.0,49.0,1318.4,0.0,1269.4,0.0,0,SYNTHETIC LAUNCH ACTUALS (seed=7); latent=hidden eval-only
5,2026-09-28,ECOM,211.6,194.0,194.0,2674.8,0.0,2480.8,0.0,0,SYNTHETIC LAUNCH ACTUALS (seed=7); latent=hidden eval-only
5,2026-09-28,RETAIL,164.6,131.2,131.2,2140.8,0.0,2009.6,0.0,0,SYNTHETIC LAUNCH ACTUALS (seed=7); latent=hidden eval-only
5,2026-09-28,WHOLESALE,94.1,60.0,60.0,1269.4,0.0,1209.4,0.0,0,SYNTHETIC LAUNCH ACTUALS (seed=7); latent=hidden eval-only
6,2026-10-05,ECOM,249.5,255.4,255.4,2480.8,0.0,2225.4,0.0,0,SYNTHETIC LAUNCH ACTUALS (seed=7); latent=hidden eval-only
6,2026-10-05,RETAIL,194.0,172.7,172.7,2009.6,0.0,1836.9,0.0,0,SYNTHETIC LAUNCH ACTUALS (seed=7); latent=hidden eval-only
6,2026-10-05,WHOLESALE,110.9,79.0,79.0,1209.4,0.0,1130.5,0.0,0,SYNTHETIC LAUNCH ACTUALS (seed=7); latent=hidden eval-only
7,2026-10-12,ECOM,260.3,300.4,300.4,2225.4,0.0,1925.0,0.0,0,SYNTHETIC LAUNCH ACTUALS (seed=7); latent=hidden eval-only
7,2026-10-12,RETAIL,202.5,203.2,203.2,1836.9,0.0,1633.7,0.0,0,SYNTHETIC LAUNCH ACTUALS (seed=7); latent=hidden eval-only
7,2026-10-12,WHOLESALE,115.7,92.9,92.9,1130.5,0.0,1037.6,0.0,0,SYNTHETIC LAUNCH ACTUALS (seed=7); latent=hidden eval-only
8,2026-10-19,ECOM,271.2,262.4,262.4,1925.0,0.0,1662.7,0.0,0,SYNTHETIC LAUNCH ACTUALS (seed=7); latent=hidden eval-only
8,2026-10-19,RETAIL,210.9,177.4,177.4,1633.7,0.0,1456.3,0.0,0,SYNTHETIC LAUNCH ACTUALS (seed=7); latent=hidden eval-only
8,2026-10-19,WHOLESALE,120.5,81.1,81.1,1037.6,0.0,956.5,0.0,0,SYNTHETIC LAUNCH ACTUALS (seed=7); latent=hidden eval-only
9,2026-10-26,ECOM,294.8,281.3,281.3,1662.7,0.0,1381.3,0.0,0,SYNTHETIC LAUNCH ACTUALS (seed=7); latent=hidden eval-only
9,2026-10-26,RETAIL,229.3,190.3,190.3,1456.3,0.0,1266.0,0.0,0,SYNTHETIC LAUNCH ACTUALS (seed=7); latent=hidden eval-only
9,2026-10-26,WHOLESALE,131.0,87.0,87.0,956.5,0.0,869.5,0.0,0,SYNTHETIC LAUNCH ACTUALS (seed=7); latent=hidden eval-only
10,2026-11-02,ECOM,359.0,383.2,383.2,1381.3,0.0,998.2,0.0,0,SYNTHETIC LAUNCH ACTUALS (seed=7); latent=hidden eval-only
10,2026-11-02,RETAIL,279.2,259.2,259.2,1266.0,0.0,1006.9,0.0,0,SYNTHETIC LAUNCH ACTUALS (seed=7); latent=hidden eval-only
10,2026-11-02,WHOLESALE,159.5,118.5,118.5,869.5,0.0,751.0,0.0,0,SYNTHETIC LAUNCH ACTUALS (seed=7); latent=hidden eval-only
11,2026-11-09,ECOM,372.3,392.3,392.3,998.2,0.0,605.8,0.0,0,SYNTHETIC LAUNCH ACTUALS (seed=7); latent=hidden eval-only
11,2026-11-09,RETAIL,289.5,265.3,265.3,1006.9,0.0,741.5,0.0,0,SYNTHETIC LAUNCH ACTUALS (seed=7); latent=hidden eval-only
11,2026-11-09,WHOLESALE,165.5,121.3,121.3,751.0,0.0,629.7,0.0,0,SYNTHETIC LAUNCH ACTUALS (seed=7); latent=hidden eval-only
12,2026-11-16,ECOM,385.6,396.5,396.5,605.8,0.0,209.3,0.0,0,SYNTHETIC LAUNCH ACTUALS (seed=7); latent=hidden eval-only
12,2026-11-16,RETAIL,299.9,268.2,268.2,741.5,0.0,473.4,0.0,0,SYNTHETIC LAUNCH ACTUALS (seed=7); latent=hidden eval-only
12,2026-11-16,WHOLESALE,171.4,122.6,122.6,629.7,0.0,507.1,0.0,0,SYNTHETIC LAUNCH ACTUALS (seed=7); latent=hidden eval-only
13,2026-11-23,ECOM,398.9,368.1,209.3,209.3,0.0,0.0,158.8,1,SYNTHETIC LAUNCH ACTUALS (seed=7); latent=hidden eval-only
13,2026-11-23,RETAIL,310.2,249.0,249.0,473.4,0.0,224.4,0.0,0,SYNTHETIC LAUNCH ACTUALS (seed=7); latent=hidden eval-only
13,2026-11-23,WHOLESALE,177.3,113.8,113.8,507.1,0.0,393.3,0.0,0,SYNTHETIC LAUNCH ACTUALS (seed=7); latent=hidden eval-only
