planning_cycle,forecast_as_of_date,planning_month,horizon_month_number,sku_id,channel_id,previous_cycle_units,cycle02_units,revision_units,revision_pct,lifecycle_phase,evidence_cutoff,forecast_version,provenance
CYCLE_02_2026-09,2026-09-28,2026-09,0,HIS-001,ECOM,606.65,595.8,-10.85,-1.789,ACTUALIZED (LAUNCH month),W4,ACTUALIZED_PERIOD,ACTUALIZED from W1-W4 observed sales (operational; no hidden truth). September complete under Thursday-month rule.
CYCLE_02_2026-09,2026-09-28,2026-09,0,HIS-001,RETAIL,471.86,402.9,-68.96,-14.615,ACTUALIZED (LAUNCH month),W4,ACTUALIZED_PERIOD,ACTUALIZED from W1-W4 observed sales (operational; no hidden truth). September complete under Thursday-month rule.
CYCLE_02_2026-09,2026-09-28,2026-09,0,HIS-001,WHOLESALE,269.63,184.2,-85.43,-31.684,ACTUALIZED (LAUNCH month),W4,ACTUALIZED_PERIOD,ACTUALIZED from W1-W4 observed sales (operational; no hidden truth). September complete under Thursday-month rule.
CYCLE_02_2026-09,2026-09-28,2026-10,1,HIS-001,ECOM,1287.36,1208.46,-78.9,-6.129,RAMP,W4,CYCLE_02_ANALYTICAL_UPDATE,DERIVED: Cycle-01 V3 approved x Method-B lifecycle attenuation of W4 forward revision -0.0613; SYNTHETIC ROLLING-FORECAST GOVERNANCE WEIGHTS 1.00/0.50/0.25
CYCLE_02_2026-09,2026-09-28,2026-10,1,HIS-001,RETAIL,1001.28,939.91,-61.37,-6.129,RAMP,W4,CYCLE_02_ANALYTICAL_UPDATE,DERIVED: Cycle-01 V3 approved x Method-B lifecycle attenuation of W4 forward revision -0.0613; SYNTHETIC ROLLING-FORECAST GOVERNANCE WEIGHTS 1.00/0.50/0.25
CYCLE_02_2026-09,2026-09-28,2026-10,1,HIS-001,WHOLESALE,572.14,537.07,-35.07,-6.129,RAMP,W4,CYCLE_02_ANALYTICAL_UPDATE,DERIVED: Cycle-01 V3 approved x Method-B lifecycle attenuation of W4 forward revision -0.0613; SYNTHETIC ROLLING-FORECAST GOVERNANCE WEIGHTS 1.00/0.50/0.25
CYCLE_02_2026-09,2026-09-28,2026-11,2,HIS-001,ECOM,1515.7,1422.8,-92.9,-6.129,RAMP,W4,CYCLE_02_ANALYTICAL_UPDATE,DERIVED: Cycle-01 V3 approved x Method-B lifecycle attenuation of W4 forward revision -0.0613; SYNTHETIC ROLLING-FORECAST GOVERNANCE WEIGHTS 1.00/0.50/0.25
CYCLE_02_2026-09,2026-09-28,2026-11,2,HIS-001,RETAIL,1178.87,1106.61,-72.26,-6.129,RAMP,W4,CYCLE_02_ANALYTICAL_UPDATE,DERIVED: Cycle-01 V3 approved x Method-B lifecycle attenuation of W4 forward revision -0.0613; SYNTHETIC ROLLING-FORECAST GOVERNANCE WEIGHTS 1.00/0.50/0.25
CYCLE_02_2026-09,2026-09-28,2026-11,2,HIS-001,WHOLESALE,673.64,632.35,-41.29,-6.129,RAMP,W4,CYCLE_02_ANALYTICAL_UPDATE,DERIVED: Cycle-01 V3 approved x Method-B lifecycle attenuation of W4 forward revision -0.0613; SYNTHETIC ROLLING-FORECAST GOVERNANCE WEIGHTS 1.00/0.50/0.25
CYCLE_02_2026-09,2026-09-28,2026-12,3,HIS-001,ECOM,2120.42,1990.46,-129.96,-6.129,SEASONAL PEAK,W4,CYCLE_02_ANALYTICAL_UPDATE,DERIVED: Cycle-01 V3 approved x Method-B lifecycle attenuation of W4 forward revision -0.0613; SYNTHETIC ROLLING-FORECAST GOVERNANCE WEIGHTS 1.00/0.50/0.25
CYCLE_02_2026-09,2026-09-28,2026-12,3,HIS-001,RETAIL,1649.18,1548.1,-101.08,-6.129,SEASONAL PEAK,W4,CYCLE_02_ANALYTICAL_UPDATE,DERIVED: Cycle-01 V3 approved x Method-B lifecycle attenuation of W4 forward revision -0.0613; SYNTHETIC ROLLING-FORECAST GOVERNANCE WEIGHTS 1.00/0.50/0.25
CYCLE_02_2026-09,2026-09-28,2026-12,3,HIS-001,WHOLESALE,942.42,884.66,-57.76,-6.129,SEASONAL PEAK,W4,CYCLE_02_ANALYTICAL_UPDATE,DERIVED: Cycle-01 V3 approved x Method-B lifecycle attenuation of W4 forward revision -0.0613; SYNTHETIC ROLLING-FORECAST GOVERNANCE WEIGHTS 1.00/0.50/0.25
CYCLE_02_2026-09,2026-09-28,2027-01,4,HIS-001,ECOM,1532.82,1485.85,-46.97,-3.065,NORMALIZATION,W4,CYCLE_02_ANALYTICAL_UPDATE,DERIVED: Cycle-01 V3 approved x Method-B lifecycle attenuation of W4 forward revision -0.0613; SYNTHETIC ROLLING-FORECAST GOVERNANCE WEIGHTS 1.00/0.50/0.25
CYCLE_02_2026-09,2026-09-28,2027-01,4,HIS-001,RETAIL,1192.19,1155.65,-36.54,-3.065,NORMALIZATION,W4,CYCLE_02_ANALYTICAL_UPDATE,DERIVED: Cycle-01 V3 approved x Method-B lifecycle attenuation of W4 forward revision -0.0613; SYNTHETIC ROLLING-FORECAST GOVERNANCE WEIGHTS 1.00/0.50/0.25
CYCLE_02_2026-09,2026-09-28,2027-01,4,HIS-001,WHOLESALE,681.23,660.35,-20.88,-3.065,NORMALIZATION,W4,CYCLE_02_ANALYTICAL_UPDATE,DERIVED: Cycle-01 V3 approved x Method-B lifecycle attenuation of W4 forward revision -0.0613; SYNTHETIC ROLLING-FORECAST GOVERNANCE WEIGHTS 1.00/0.50/0.25
CYCLE_02_2026-09,2026-09-28,2027-02,5,HIS-001,ECOM,1397.84,1355.0,-42.84,-3.065,NORMALIZATION,W4,CYCLE_02_ANALYTICAL_UPDATE,DERIVED: Cycle-01 V3 approved x Method-B lifecycle attenuation of W4 forward revision -0.0613; SYNTHETIC ROLLING-FORECAST GOVERNANCE WEIGHTS 1.00/0.50/0.25
CYCLE_02_2026-09,2026-09-28,2027-02,5,HIS-001,RETAIL,1087.21,1053.89,-33.32,-3.065,NORMALIZATION,W4,CYCLE_02_ANALYTICAL_UPDATE,DERIVED: Cycle-01 V3 approved x Method-B lifecycle attenuation of W4 forward revision -0.0613; SYNTHETIC ROLLING-FORECAST GOVERNANCE WEIGHTS 1.00/0.50/0.25
CYCLE_02_2026-09,2026-09-28,2027-02,5,HIS-001,WHOLESALE,621.25,602.21,-19.04,-3.065,NORMALIZATION,W4,CYCLE_02_ANALYTICAL_UPDATE,DERIVED: Cycle-01 V3 approved x Method-B lifecycle attenuation of W4 forward revision -0.0613; SYNTHETIC ROLLING-FORECAST GOVERNANCE WEIGHTS 1.00/0.50/0.25
CYCLE_02_2026-09,2026-09-28,2027-03,6,HIS-001,ECOM,1164.86,1129.16,-35.7,-3.065,NORMALIZATION,W4,CYCLE_02_ANALYTICAL_UPDATE,DERIVED: Cycle-01 V3 approved x Method-B lifecycle attenuation of W4 forward revision -0.0613; SYNTHETIC ROLLING-FORECAST GOVERNANCE WEIGHTS 1.00/0.50/0.25
CYCLE_02_2026-09,2026-09-28,2027-03,6,HIS-001,RETAIL,905.98,878.22,-27.76,-3.065,NORMALIZATION,W4,CYCLE_02_ANALYTICAL_UPDATE,DERIVED: Cycle-01 V3 approved x Method-B lifecycle attenuation of W4 forward revision -0.0613; SYNTHETIC ROLLING-FORECAST GOVERNANCE WEIGHTS 1.00/0.50/0.25
CYCLE_02_2026-09,2026-09-28,2027-03,6,HIS-001,WHOLESALE,517.72,501.85,-15.87,-3.065,NORMALIZATION,W4,CYCLE_02_ANALYTICAL_UPDATE,DERIVED: Cycle-01 V3 approved x Method-B lifecycle attenuation of W4 forward revision -0.0613; SYNTHETIC ROLLING-FORECAST GOVERNANCE WEIGHTS 1.00/0.50/0.25
CYCLE_02_2026-09,2026-09-28,2027-04,7,HIS-001,ECOM,1169.93,1134.08,-35.85,-3.065,NORMALIZATION,W4,CYCLE_02_ANALYTICAL_UPDATE,DERIVED: Cycle-01 V3 approved x Method-B lifecycle attenuation of W4 forward revision -0.0613; SYNTHETIC ROLLING-FORECAST GOVERNANCE WEIGHTS 1.00/0.50/0.25
CYCLE_02_2026-09,2026-09-28,2027-04,7,HIS-001,RETAIL,909.92,882.03,-27.89,-3.065,NORMALIZATION,W4,CYCLE_02_ANALYTICAL_UPDATE,DERIVED: Cycle-01 V3 approved x Method-B lifecycle attenuation of W4 forward revision -0.0613; SYNTHETIC ROLLING-FORECAST GOVERNANCE WEIGHTS 1.00/0.50/0.25
CYCLE_02_2026-09,2026-09-28,2027-04,7,HIS-001,WHOLESALE,519.97,504.04,-15.93,-3.065,NORMALIZATION,W4,CYCLE_02_ANALYTICAL_UPDATE,DERIVED: Cycle-01 V3 approved x Method-B lifecycle attenuation of W4 forward revision -0.0613; SYNTHETIC ROLLING-FORECAST GOVERNANCE WEIGHTS 1.00/0.50/0.25
CYCLE_02_2026-09,2026-09-28,2027-05,8,HIS-001,ECOM,745.29,722.45,-22.84,-3.065,NORMALIZATION,W4,CYCLE_02_ANALYTICAL_UPDATE,DERIVED: Cycle-01 V3 approved x Method-B lifecycle attenuation of W4 forward revision -0.0613; SYNTHETIC ROLLING-FORECAST GOVERNANCE WEIGHTS 1.00/0.50/0.25
CYCLE_02_2026-09,2026-09-28,2027-05,8,HIS-001,RETAIL,579.68,561.92,-17.76,-3.065,NORMALIZATION,W4,CYCLE_02_ANALYTICAL_UPDATE,DERIVED: Cycle-01 V3 approved x Method-B lifecycle attenuation of W4 forward revision -0.0613; SYNTHETIC ROLLING-FORECAST GOVERNANCE WEIGHTS 1.00/0.50/0.25
CYCLE_02_2026-09,2026-09-28,2027-05,8,HIS-001,WHOLESALE,331.23,321.08,-10.15,-3.065,NORMALIZATION,W4,CYCLE_02_ANALYTICAL_UPDATE,DERIVED: Cycle-01 V3 approved x Method-B lifecycle attenuation of W4 forward revision -0.0613; SYNTHETIC ROLLING-FORECAST GOVERNANCE WEIGHTS 1.00/0.50/0.25
CYCLE_02_2026-09,2026-09-28,2027-06,9,HIS-001,ECOM,647.28,627.44,-19.84,-3.065,NORMALIZATION,W4,CYCLE_02_ANALYTICAL_UPDATE,DERIVED: Cycle-01 V3 approved x Method-B lifecycle attenuation of W4 forward revision -0.0613; SYNTHETIC ROLLING-FORECAST GOVERNANCE WEIGHTS 1.00/0.50/0.25
CYCLE_02_2026-09,2026-09-28,2027-06,9,HIS-001,RETAIL,503.44,488.01,-15.43,-3.065,NORMALIZATION,W4,CYCLE_02_ANALYTICAL_UPDATE,DERIVED: Cycle-01 V3 approved x Method-B lifecycle attenuation of W4 forward revision -0.0613; SYNTHETIC ROLLING-FORECAST GOVERNANCE WEIGHTS 1.00/0.50/0.25
CYCLE_02_2026-09,2026-09-28,2027-06,9,HIS-001,WHOLESALE,287.66,278.84,-8.82,-3.065,NORMALIZATION,W4,CYCLE_02_ANALYTICAL_UPDATE,DERIVED: Cycle-01 V3 approved x Method-B lifecycle attenuation of W4 forward revision -0.0613; SYNTHETIC ROLLING-FORECAST GOVERNANCE WEIGHTS 1.00/0.50/0.25
CYCLE_02_2026-09,2026-09-28,2027-07,10,HIS-001,ECOM,748.5,737.03,-11.47,-1.532,SECOND-SEASON / MATURATION,W4,CYCLE_02_ANALYTICAL_UPDATE,DERIVED: Cycle-01 V3 approved x Method-B lifecycle attenuation of W4 forward revision -0.0613; SYNTHETIC ROLLING-FORECAST GOVERNANCE WEIGHTS 1.00/0.50/0.25
CYCLE_02_2026-09,2026-09-28,2027-07,10,HIS-001,RETAIL,582.16,573.24,-8.92,-1.532,SECOND-SEASON / MATURATION,W4,CYCLE_02_ANALYTICAL_UPDATE,DERIVED: Cycle-01 V3 approved x Method-B lifecycle attenuation of W4 forward revision -0.0613; SYNTHETIC ROLLING-FORECAST GOVERNANCE WEIGHTS 1.00/0.50/0.25
