week_start,region_id,proxy_city,avg_temp_c,rain_mm,snow_cm,max_wind_kmh,wet_cold_days,temp_reference_c,rain_reference_mm,snow_reference_cm,temp_anomaly_c,rain_anomaly_mm,snow_anomaly_cm,heavy_rain_week_flag,heavy_snow_week_flag,cold_week_flag,very_cold_week_flag,wet_cold_week_flag,high_wind_week_flag,cold_severity_dimension,rain_severity_dimension,snow_severity_dimension,wet_cold_severity_dimension,wind_severity_dimension,adverse_dimension_count,extreme_weather_event_flag,mild_weather_candidate_flag,weather_reference_available,scenario_eligible_flag,weather_scenario,scenario_reason,scenario_method,scenario_provenance,scenario_threshold_provenance
2021-07-05,CA_ON,"Toronto, ON",20.414,25.7,0.0,20.7,0,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,REFERENCE_UNAVAILABLE,No prior-year seasonal weather reference available,RULE_BASED_UNWEIGHTED_WEATHER_DIMENSIONS,DERIVED_FROM_PUBLIC_WEATHER,PROJECT_ASSUMPTION
2021-07-12,CA_ON,"Toronto, ON",22.3,23.5,0.0,26.8,0,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,REFERENCE_UNAVAILABLE,No prior-year seasonal weather reference available,RULE_BASED_UNWEIGHTED_WEATHER_DIMENSIONS,DERIVED_FROM_PUBLIC_WEATHER,PROJECT_ASSUMPTION
2021-07-19,CA_ON,"Toronto, ON",21.771,23.0,0.0,30.3,0,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,REFERENCE_UNAVAILABLE,No prior-year seasonal weather reference available,RULE_BASED_UNWEIGHTED_WEATHER_DIMENSIONS,DERIVED_FROM_PUBLIC_WEATHER,PROJECT_ASSUMPTION
2021-07-26,CA_ON,"Toronto, ON",19.757,34.5,0.0,20.4,0,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,REFERENCE_UNAVAILABLE,No prior-year seasonal weather reference available,RULE_BASED_UNWEIGHTED_WEATHER_DIMENSIONS,DERIVED_FROM_PUBLIC_WEATHER,PROJECT_ASSUMPTION
2021-08-02,CA_ON,"Toronto, ON",21.686,8.1,0.0,18.4,0,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,REFERENCE_UNAVAILABLE,No prior-year seasonal weather reference available,RULE_BASED_UNWEIGHTED_WEATHER_DIMENSIONS,DERIVED_FROM_PUBLIC_WEATHER,PROJECT_ASSUMPTION
2021-08-09,CA_ON,"Toronto, ON",23.814,9.5,0.0,26.8,0,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,REFERENCE_UNAVAILABLE,No prior-year seasonal weather reference available,RULE_BASED_UNWEIGHTED_WEATHER_DIMENSIONS,DERIVED_FROM_PUBLIC_WEATHER,PROJECT_ASSUMPTION
2021-08-16,CA_ON,"Toronto, ON",23.586,5.4,0.0,16.8,0,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,REFERENCE_UNAVAILABLE,No prior-year seasonal weather reference available,RULE_BASED_UNWEIGHTED_WEATHER_DIMENSIONS,DERIVED_FROM_PUBLIC_WEATHER,PROJECT_ASSUMPTION
2021-08-23,CA_ON,"Toronto, ON",25.0,5.0,0.0,22.5,0,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,REFERENCE_UNAVAILABLE,No prior-year seasonal weather reference available,RULE_BASED_UNWEIGHTED_WEATHER_DIMENSIONS,DERIVED_FROM_PUBLIC_WEATHER,PROJECT_ASSUMPTION
2021-08-30,CA_ON,"Toronto, ON",20.1,4.1,0.0,21.7,0,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,REFERENCE_UNAVAILABLE,No prior-year seasonal weather reference available,RULE_BASED_UNWEIGHTED_WEATHER_DIMENSIONS,DERIVED_FROM_PUBLIC_WEATHER,PROJECT_ASSUMPTION
2021-09-06,CA_ON,"Toronto, ON",19.143,10.0,0.0,30.3,0,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,REFERENCE_UNAVAILABLE,No prior-year seasonal weather reference available,RULE_BASED_UNWEIGHTED_WEATHER_DIMENSIONS,DERIVED_FROM_PUBLIC_WEATHER,PROJECT_ASSUMPTION
